COUNTRY,FOUNDED,STORES,FUN FACT,VIDEO,FIRST LOCATION,LAT LONG,PIN ADDRESS FOR STORE DROP
Australia,1977,637,,Master Map_AUSTRALIA.mov,Melbourne,"-37.815143, 144.964045","124 Elizabeth St, Melbourne VIC 3000, Australia"
Canada,1969,504,,Master Map_CANADA.mov,"Calgary, Alberta","51.017961, -114.048232","4001 Macleod Trail SW, Calgary, AB T2G 2R6, Canada"
China,1992,2237,,Master Map_CHINA.mov,"Shenzhen, Guangdong","22.540749, 114.067026","China, Guangdong, Shenzhen, Futian, Shennan Ave, 2008号-8"
Denmark,1993,186,,Master Map_DENMARK.mov,Østerbro,"55.704108, 12.581612","Østerbrogade 118, 2100 København, Denmark"
Hong Kong,1981,931,,Master Map_HONGKONG.mov,Hong Kong,"22.284629, 114.195973","Hong Kong, 電氣道98"
Indonesia,2008,179,,Master Map_INDONESIA.mov,Jakarta,"-6.277853, 106.833636","Jalan Kemang Selatan 12 No 130, RT 003 / 02 Bangka, Mampang Prapatan, Daerah Khusus Ibukota Jakarta 12730, Indonesia"
Japan,1974,18785,,Master Map_JAPAN.mov,Tokyo,"35.713484, 139.765312","Japan, 〒112-0005 Tōkyō-to, Bunkyō-ku, Suidō, 1 Chome−6, 水道１丁目６−７"
Malaysia,1984,2001,,Master Map_MALAYSIA.mov,Kuala Lumpur,"3.146513, 101.708008","No. 52, Jalan Bulan, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia"
Mexico,1971,1874,,Master Map_MEXICO.mov,Nuevo León,"25.639760, -100.067303","Arturo B. DE LA Garza S/N, 67265 Juárez, N.L., Mexico"
Norway,1986,156,,Master Map_NORWAY.mov,Oslo,"59.918968, 10.739808","Holbergs Plass 3, 0166 Oslo, Norway"
Phillipines,1984,1740,,Master Map_PHILIPPINES.mov,Quezon City,"14.658666, 121.039886","Ilocos Sur Cor Bukidnon St., Quezon City, 1105 Metro Manila, Philippines"
Singapore,1989,445,,Master Map_SINGAPORE.mov,Singapore,"1.334574, 103.917593","30 Tai Seng Street, #01-07 BreadTalk IHQ, BreadTalk @ IHQ mall, Singapore 534013"
South Korea,1989,8227,,Master Map_SOUTH KOREA.mov,Seoul,"37.520784, 127.112938","44 Bangi-dong, Songpa-gu, Seoul, South Korea"
Sweden,1997,185,,Master Map_SWEDEN.mov,Lund,"55.705162, 13.189663","Knut Den Stores Torg 2, 221 21 Lund, Sweden"
Taiwan,1979,5055,,Master Map_TAIWAN.mov,Taiwan,"23.864784, 120.931259","No. 118, Zhongshan Rd, Yuchi Township, Nantou County, Taiwan 555"
Thailand,1989,9252,,Master Map_THAILAND.mov,Bangkok ,"13.729876, 100.531520","57 Thanon Surawong, Si Phraya, Bang Rak, Bangkok 10500, Thailand"
UAE,2015,2,,Master Map_UAE.mov,Dubai,"25.186109, 55.280638","Bay Square 1, Shop No. 3, Building No. 4, Business Bay Office Tower - Dubai - United Arab Emirates"
USA,1927,8366,,Master Map_USA.mov,Dallas,"32.925153, -96.987500","3200 Hackberry Road, Irving, TX 75063"
Viet Nam,2016,1,,Master Map_VIETNAM.mov,Ho Chi Minh City,"10.819313, 106.635282","22/2 Trần Thái Tông
Phường 15
Tân Bình
Hồ Chí Minh
Vietnam"
